'78)','cyro guedes etchegoyen','(1929-2012)','Coronel do Exército'
'79)','darcy jardIm de matos ','(1918-)','General de Brigada'
'80)','edmundo drummond bIttencourt herculano','(1912-)','Vice-almirante'
'81)','ednardo d’aVIla mello','(1911-1984)','General de Exército'
'82)','enI de olIVeIra castro','','Coronel do Exército'
'83)','ênIo de albuquerque lacerda ','(1929-1998)','Foi comandante da 1a companhia de Polícia do Exército'
'84)','ernanI ayrosa da sIlVa','(1915-1987)','General de Divisão'
'85)','eVeraldo josé da sIlVa','','General de Brigada'
'86)','Fernando ayres da motta.','','Ex-comandante da companhia aérea Panair'
'87)','FIrmIno Peres rodrIgues ','(1931-)','Delegado de polícia no estado do Rio Grande do Sul'
'88)','FláVIo de marco ','(1929-1981)','Coronel do Exército'
'89)','FláVIo hugo de lIma rocha ','(1921-1983)','Coronel do Exército'
'90)','FrancIsco demIurgo santos cardoso ','(1930-)','Coronel do Exército'
'91)','FrancIsco homem de carValho','(1924-1990)','Coronel do Exército'
'92)','gastão barbosa Fernandes','(1924-)','Major do Exército'
'93)','Gastão batIsta de carValho','(1924-98)','Tenente-coronel do Exército'
'94)','gentIl marcondes FIlho','(1916-1983)','General de Exército'
'95)','gentIl nogueIra Paes','(1914-)','General de Brigada'
'96)','gIlberto aIrton zenKner','(1934-)',' Coronel do Exército'
'97)','gustaVo eugênIo de olIVeIra borges','(1922-)','Coronel-aviador'
'98)','harry shIbata ','(1927-)','Médico-legista'
'99)','hélIo IbIaPIna lIma ','(1919-2010)','General de Brigada'
'100)','hélIo da mata resende','','Tenente do Exército'
'101)','herculano Pedro de sImas mayer','(1925-)',' Capitão de mar e guerra'
'102)','hugo de andrade abreu','(1916-1979)',' General de Divisão'
'103)','joalbo rodrIgues de FIgueIredo barbosa','(1918-)','Secretário de Segurança Pública do estado da Bahia'
'104)','joão de alVarenga soutto mayor','(1917-)','General de Brigada'
'105)','joão dutra de castIlho','(1907-1987)','General de Exército'
'106)','joão osWaldo leIVas job','(1927-)','Coronel do Exército'
'107)','joão PInto Pacca ','(1919-)','General de Brigada'
'108)','joão tarcísIo cartaxo arruda','(1930-1996)',' Coronel do Exército'
'109)','jonas braga ','','Tenente do Exército'
'110)','jorge josé de carValho','(1927-)','Tenente-brigadeiro'
'111)','jorge josé marques sobrInho','(1935-1990)','Delegado da Polícia Civil'
'112)','josé antônIo nogueIra belham','(1934-)',' General de Divisão'
'113)','josé FerreIra da sIlVa','','Tenente-coronel do Exército'
'114)','josé luIz coelho netto','(1921-1986)','General de Divisão'
'115)','josé ney Fernandes antunes','(1926-)','Tenente-coronel do Exército'
'116)','leo guedes etchegoyen','(1925-2003)',' General de Brigada'
'117)','leônIdas PIres gonçalVes','(1921-)','General de Exército'
'118)','luIz macKsen de castro rodrIgues','(1924-2004)','Superintendente da Polícia Federal do Rio Grande do Sul em 1978'
'119)','manoel PIo corrêa júnIor','(1918-2013)','Diplomata e empresário'
'120)','marcos henrIque camIllo cortes','(1935-)','Diplomata'
'121)','marcus antônIo brIto de Fleury','(1936-2012)','Capitão do Exército'
'122)','márIo de souza PInto','','General de Brigada'
'123)','melIllo moreIra de mello ','(1920-1984)','Diplomata'
'124)','neWton araújo de olIVeIra e cruz','(1924-)',' General de Divisão'
'125)','nIlton de albuquerque cerqueIra ','(1930-)','Coronel de Exército'
'126)','olaVo VIanna moog','(1912-1989)','General de Divisão'
'127)','olInto Ferraz','(1911-)','Coronel da Polícia Militar do estado de Pernambuco'
'128)','oscar geronymo bandeIra de mello','(1910-)','General de Divisão'
'129)','Paulo ruFIno alVes ','(1934-1986)','Coronel do Exército'
'130)','romeu tuma','(1931-2010)','Delegado da Polícia Civil do estado de São Paulo'
'131)','ruy de Paula couto','(1916-)','General de Exército'
'132)','ruy lIsbôa dourado','(1917-1986)','Delegado da Polícia Civil do antigo estado da Guanabara'
'133)','samuel augusto alVes correa','(1917-)','Chefe do Estado-Maior do IV Exército no final da década de 1960'
'134)','syzeno ramos sarmento','(1907-1983)','General de Exército'
'135)','urIburu lobo da cruz','(1931-)','Capitão de mar e guerra'
'136)','Waldyr coelho ','(1928-1977)','Coronel do Exército'
'137)','WIlson brandI romão','(1930-)','Coronel do Exército'
'138)','abeylard de queIroz orsInI','(1927-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'139)','abílIo correa de souza','(1923-2001)','Suboficial da Aeronáutica'
'140)','ademar augusto de olIVeIra','','Investigador de polícia'
'141)','aIlton guImarães jorge','(1941-)','Ex-militar'
'142)','aIlton joaquIm','(1942-2007)','Capitão do Exército'
'143)','alberI VIeIra dos santos','(1937-1979)','Sargento da Brigada Militar do Rio Grande do Sul'
'144)','alberto octáVIo conrado aVegno','(1927-2013)','Agente do Centro de Informações do Exterior '
'145)','alcIdes sIngIllo','(1932-)','Delegado de polícia'
'146)','alFredo magalhães','(1913-1996)',' Capitão de mar e guerra'
'147)','aloísIo Fernandes ','(1930-2014)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'148)','altaIr casadeI','(1941-)',' Sargento da Polícia Militar'
'149)','aluísIo madruga de moura','(1938-)','Coronel do Exército'
'150)','amílcar lobo moreIra da sIlVa','(1939-1997)','Médico do Exército'
'151)','andré leIte PereIra FIlho','(1936-2003)','Coronel do Exército'
'152)','aníbal de carValho coutInho','(1931-)','Coronel do Exército'
'153)','antônIo cúrcIo neto','(1926-)','Coronel do Exército'
'154)','antônIo dácIo Franco amaral','(1905-2001)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'155)','antônIo Fernando hughes de carValho','(1942-2005)',' Serviu no Destacamento de Operações de Informações '
'156)','antônIo ValentInI','(1945-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'157)','antônIo VIlela','','Delegado de polícia'
'158)','antônIo WaneIr PInheIro lIma','(1943-)','Soldado do Exército'
'159)','aParecIdo laertes calandra','(1940-)','Delegado de polícia'
'160)','aramIs ramos Pedrosa','(1950-)','Ex-tenente do Exército'
'161)','aresKI de assIs PInto abarca','(1938-)','Capitão do Exército'
'162)','arIldo de toledo VIana','(1939-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'163)','armando aVólIo FIlho','(1945-)','Coronel do Exército'
'164)','armando canger rodrIgues','(1921-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'165)','arthur de brItto PereIra','(1918-2002)','Delegado de polícia'
'166)','artur Falcão dIzeu','','Policial civil'
'167)','ary casagrande','(1935-)','Delegado de polícia'
'168)','ary PereIra de carValho','(1927-2006)','Coronel do Exército'
'169)','átIla rohrsetzer','(1931-)','Coronel do Exército'
'170)','attIla carmelo','(1936-)',' Capitão do Exército'
'171)','argentIno teodoro taVares','(1937-)','Soldado da Polícia Militar do estado de Minas Gerais'
'172)','astorIge correa de Paula e sIlVa','(1941-)','Investigador de polícia'
'173)','benonI de arruda albernaz','(1933-1993)','Capitão do Exército'
'174)','carlos alberto augusto','(1944-)','Delegado de polícia'
'175)','carlos de brIto','','Delegado da Polícia'
'176)','carlos teIxeIra marra','(1940-)','Segundo-sargento da Polícia Militar do estado de Goiás'
'177)','carlos sergIo maIa mondaInI','','Coronel-médico do Exército'
'178)','celso laurIa','(1936-)','Coronel do Exército'
'179)','cláudIo antônIo guerra','(1940-)','Delegado de polícia no estado do Espírito Santo'
'180)','dalmo lúcIo munIz cyrIllo','(1934-2002)','Coronel do Exército'
'181)','darcy ursmar VIllocq VIanna','(1919-2012)',' Coronel do Exército'
'182)','daVId dos santos araújo','(1938-)','Delegado de polícia do estado de São Paulo'
'183)','décIo brandão camargo','(1911-1976)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'184)','deoclécIo Paulo','(1933-)','Capitão do Exército'
'185)','dIrceu graVIna','(1948-)','Delegado de polícia'
'186)','dulene aleIxo garcez dos reIs ','(1942-)','Capitão do Exército'
'187)','edeVarde josé','(1931-)','Delegado de polícia'
'188)','edmIlson almeIda cruz','','Soldado da Polícia Militar do estado de Goiás'
'189)','edsel magnottI','(1928-)','Delegado de polícia'
'190)','edson sá rocha ','(1941-)',' General de Brigada'
'191)','eduardo rodrIgues','','Delegado de polícia'
'192)','elIas FreItas','(1926-2008)','Médico-legista do Instituto Médico-Legal do estado do Rio de Janeiro '
'193)','elson ValerIano','(1940-)','Soldado da Polícia Militar do estado de Minas Gerais'
'194)','ênIo PImentel da sIlVeIra ','(1936-1986)','Coronel do Exército'
'195)','enIr barcelos da sIlVa','(1935-2010)','Delegado de polícia'
'196)','ePamInondas PereIra do nascImento','(1927-)','Capitão da Polícia Militar do estado de Goiás'
'197)','erar de camPos Vasconcelos','(1925-1997)','Coronel do Exército'
'198)','ernanI jorge correa','(1924-)','General de Brigada'
'199)','ernesto eleutérIo ','(1941-)','Perito criminal do Instituto de Criminalística de São Paulo'
'200)','ernesto mIlton dIas','(1936-)','Delegado de polícia'
'201)','euro barbosa de barros','(1934-)','Coronel da Polícia Militar do estado do Mato Grosso'
'202)','eWaldo mIranda','','Delegado de polícia'
'203)','ezy ramalho FeItosa','','Soldado da Polícia Militar do estado de Mato Grosso'
'204)','FélIx FreIre dIas ','(1949-)','Ex-cabo do Exército'
'205)','FerdInando munIz de FarIas','(1922-)','Coronel-aviador'
'206)','FIrmIano Pacheco netto ','(1934-2008)',' Delegado de polícia no estado de São Paulo'
'207)','FlorIano aguIlar chagas','(1926-2012)','General de Divisão'
'208)','FlorIcIo FornacIarI','(1934-)','Soldado da Polícia Militar do estado de Minas Gerais'
'209)','FrancIsco moacyr meyer Fontenelle','(1929-1993)','Coronel do Exército'
'210)','FrancIsco torres dutra','(1935-)','Soldado da Polícia Militar do estado de Minas Gerais'
'211)','FreddIe PerdIgão PereIra','(1936-1996)','Coronel do Exército'
'212)','FrederIco IldeFonso marrI amaral','(1932-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'213)','geraldo rebello','','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'214)','gonçalIno curIo de carValho','','Coronel da Brigada Militar do Rio Grande do Sul'
'215)','graccho guImarães sIlVeIra','(1936-)','Médico-legista do Instituto Médico-Legal do estado do Rio de Janeiro '
'216)','harIm de samPaIo d’olIVeIra','(1934-2007)','Delegado de polícia no estado de São Paulo'
'217)','haydn Prates saraIVa ','(1931-2002)',' Investigador de polícia'
'218)','herbert de bastos curado','(1929-)','Coronel do Exército'
'219)','herculano leonel','(1942-)','Soldado da Polícia Militar do estado de São Paulo'
'220)','hIlárIo josé corralIs','(1913-1982)','Marceneiro e pequeno empresário'
'221)','hIlton Fernandes da sIlVa','(1920-1986)','Policial civil'
'222)','homero césar machado','(1940-)','Coronel do Exército'
'223)','hugo caetano coelho de almeIda ','(1926-)','Coronel do Exército'
'224)','humberto rIbeIro quIntas','(1942-)','Policial civil'
'225)','humberto serrano de souza','','Investigador de polícia'
'226)','hygIno de carValho hércules','(1939-)','Médico-legista do Instituto Médico-Legal do estado do Rio de Janeiro '
'227)','InnocêncIo FabrícIo de mattos beltrão','(1931-)',' Major do Exército'
'228)','Isaac abramoVItc','(1936-2012)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'229)','IVahIr FreItas garcIa ','(1926-94)','Delegado de polícia'
'230)','jacy ochsendorF e souza','(1945-)',' Capitão do Exército'
'231)','jáder de jesus coutInho','(1932-2013)','Capitão de mar e guerra'
'232)','jayr gonçalVes da motta','(1935-1982)','Policial federal'
'233)','jaIr romeu ','(1926-2000)',' Auxiliar de necropsia do Instituto Médico-Legal do estado de São Paulo '
'234)','jamIl jomar de Paula','(1951-)','Tenente do Exército'
'235)','jeoVah sIlVa','','Escrivão do DOPS-GB'
'236)','joão alVes de souza','','Segundo-tenente da Polícia Militar de Goiás'
'237)','joão andré dIas Paredes','(1918-1987)','Coronel da Polícia Militar do estado do Paraná'
'238)','joão câmara gomes carneIro','(1938-)','Capitão do Exército'
'239)','joão carlos trallI','(1932-2007)','Investigador da Polícia Civil'
'240)','joão clementIno sIlVa','(1939-)','Soldado da Polícia Militar do estado de Minas Gerais'
'241)','joão grIgorIan','','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'242)','joão guIlherme FIgueIredo ','(1936-)','Médico-legista do Instituto Médico-Legal do estado do Rio de Janeiro '
'243)','joão henrIque FerreIra de carValho','(1950-)','Médico'
'244)','joão lucena leal','(1939-)',' Delegado da Polícia Federal'
'245)','joão medeIros','(1933-)','Soldado da Polícia Militar do estado de Minas Gerais'
'246)','joão Pagenotto','(1927-)','Médico-legista do Instituto Médico-Legal do estado de São Paulo '
'247)','joão Pedro do rego','(1925-)','Subtenente do Exército'
'248)','joão rodrIgues PInheIro ','','Coronel da Polícia Militar do estado de Goiás'
'249)','joão santa cruz sacramento','(1931-)','Sargento do Exército'
'250)','joaquIm FelIx de carValho','(1938-)','Soldado da Polícia Militar do estado de Minas Gerais'
'251)','josecIr cuoco','(1940-)','Delegado da Polícia Federal'
